分類,機關名稱,標案名稱,傳輸次數,公告日期,截止日期,金額,網址
太陽能,國軍退除役官兵輔導委員會退除役官兵職業訓練中心,107年委外訓練太陽能技術工程師班高雄班,1,106/12/07,106/12/18,"1,324,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52359634
太陽能,國立勤益科技大學,電機工程系「太陽能電池實驗器」購案,1,106/12/11,106/12/18,"330,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52365949
太陽能,經濟部能源局,107年度「太陽能熱利用補助推廣作業計畫」,1,106/11/28,106/12/15,"10,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52347307
綠能,勞動部勞動力發展署北基宜花金馬分署,107年度第1次委託辦理失業者職業訓練-工業與綠能職類群,1,106/12/15,107/01/02,"19,440,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52370596
綠能,經濟部能源局,107年度「沙崙綠能科學城-綠能科技產業化技術驗證平台計畫(1/3)」,1,106/12/13,107/01/09,"400,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52368367
綠能,花蓮縣環境保護局,107年度花蓮縣畜牧糞尿沼渣沼液作為農地肥分使用輔導推動計畫暨推動綠能沼氣回收再利用暨異味削減輔導計畫,1,106/12/12,106/12/26,"4,858,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52365539
綠能,保證責任花蓮縣龍鳳甲良質稻米運銷合作社,「106年度花蓮縣有機農業推動及綠能示範計畫」冷藏庫(RC式)含周邊附屬,1,106/12/11,106/12/21,"4,500,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52363794
綠能,經濟部標準檢驗局,107年度推動綠能產品性能可靠度檢測技術委辦計畫,1,106/12/08,106/12/25,"4,800,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52363085
綠能,科技部南部科學工業園區管理局,沙崙綠能科學城核心區-C區開發工程(第一期),1,106/12/14,106/12/21,"1,549,322,726",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52309717
綠能,經濟部標準檢驗局,107年綠能產品電磁相容可靠度及碳足跡與產製登錄平台委辦計畫,1,106/12/13,107/01/05,"5,975,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52368510
綠能,屏東縣政府環境保護局,107年屏東縣綠能專案推動計畫,1,106/12/11,106/12/25,"7,500,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52354845
綠能,國立東港高級海事水產職業學校,綠能光電設備,2,106/12/11,106/12/15,"1,800,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52364044
