項次,機關名稱,標案名稱,網址,公告日期,截止日期,金額
35,財團法人國家實驗研究院高速網路與計算中心,經濟型繪圖卡人工智慧叢集,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52361058,"106/12/07
","107/01/05
","
													
													
													
														
														
														4,800,000
																											
														
													
																									
												"
37,交通部觀光局日月潭國家風景區管理處,107年度網站暨智慧旅遊平台服務功能整合創新及更新維護委託服務案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52338211,"106/12/07
","106/12/19
","
													
													
													
														
														
														1,870,000
																											
														
													
																									
												"
39,基隆市政府,仁義.智慧.禮儀.東信.東明及孝深等六里內零星工程,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52356694,"106/12/06
","106/12/19
","
													
													
													
														
														
														1,853,883
																											
														
													
																									
												"
41,臺中市政府交通局,106年智慧公車車聯網建置計畫,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52358071,"106/12/06
","106/12/21
","
													
													
													
														
														
														13,400,000
																											
														
													
																									
												"
43,桃園國際機場股份有限公司,電動車充電站智慧管理服務與相關工程規劃設計暨監造技術服務,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52357486,"106/12/05
","106/12/26
","
													
													
													
														
														
														990,000
																											
														
													
																									
												"
45,台灣中油股份有限公司,新化開關站至台南配氣站16吋環線智慧型通管器(IP)檢測工作,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52354596,"106/12/04
","106/12/21
","
													
													
													
														
														
														16,705,868
																											
														
													
																									
												"
47,勞動部勞動力發展署中彰投分署,107年度智慧型園區監控系統維護案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52355506,"106/12/04
","106/12/14
","
													
													
													
														
														
														1,950,000
																											
														
													
																									
												"
49,法務部矯正署臺北監獄,矯正機關智慧監控系統建置及影像資料庫分析應用計畫銜接整合聯合採購案(北一區),http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52347287,"106/11/28
","106/12/21
","
													
													
													
														
														
														50,305,000
																											
														
													
																									
												"
51,衛生福利部中央健康保險署,107年度健保大數據智慧分析平台建置案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52337069,"106/11/21
","106/12/19
","
													
													
													
														
														
														9,975,000
																											
														
													
																									
												"
53,台灣中油股份有限公司,通霄中繼站至台中供油8吋和12吋油管磁通漏智慧型通管器(IP)檢測,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52323462,"106/11/07
","106/12/18
","
													
													
													
														
														
														19,690,980
																											
														
													
																									
												"
2,國立臺灣科技大學,國立臺灣科技大學智慧電錶安裝工程,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52370136,"106/12/14
","106/12/26
","
													
													
													
														
														
														2,900,000
																											
														
													
																									
												"
4,科技部新竹科學工業園區管理局,竹科住宅區智慧化監視錄影系統設置租賃,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369780,"106/12/14
","106/12/25
","
													
													
													
														
														
														18,695,042
																											
														
													
																									
												"
6,法務部矯正署臺北看守所,矯正機關智慧監控系統建置及影像資料庫分析應用計畫銜接整合聯合採購案(北二區),http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369864,"106/12/14
","106/12/20
","
													
													
													
														
														
														37,618,000
																											
														
													
																									
												"
8,新竹縣竹東鎮中山國民小學,國中小智慧學習試辦計畫-智慧教室資訊設備,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369187,"106/12/13
","106/12/18
","
													
													
													
														
														
														400,000
																											
														
													
																									
												"
10,經濟部加工出口區管理處,107至108年次世代環境智能系統技術研發與應用推動計畫-物聯網智慧應用創新服務,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52368216,"106/12/13
","107/01/02
","
													
													
													
														
														
														6,766,000
																											
														
													
																									
												"
12,臺中市政府交通局,臺中市水湳智慧城中央停車場委託經營案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52367919,"106/12/13
","106/12/18
","
													
													
													
														
														
														0
																											
														
													
																									
												"
14,桃園市龍潭區公所,107年龍潭區公所智慧行動區里系統網路通訊費,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52367647,"106/12/12
","106/12/18
","
													
													
													
														
														
														168,000
																											
														
													
																									
												"
16,台灣中油股份有限公司,10吋及16吋高南總管管線智慧型通管器(IP)檢測工作,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52366465,"106/12/12
","107/01/10
","
													
													
													
														
														
														29,778,525
																											
														
													
																									
												"
18,花蓮縣政府,花蓮縣人工智慧於學生學習成效分析預測系統建置案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52366447,"106/12/12
","106/12/26
","
													
													
													
														
														
														6,000,000
																											
														
													
																									
												"
20,臺中市政府交通局,106年度公車候車亭設施新建暨智慧型站牌遷移工程案,http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52366677,"106/12/12
","106/12/20
","
													
													
													
														
														
														17,262,295
																											
														
													
																									
												"
