分類,機關名稱,標案名稱,傳輸次數,公告日期,截止日期,金額,網址
智慧,臺北市政府產業發展局,「107年臺北市智慧社區節能及示範實證計畫」委託專業服務案,1,107/01/24,107/02/06,"
													
													
													
														
														
														4,750,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52389886
智慧,經濟部水利署,107年智慧水管理產業創新發展計畫管理及推動,1,107/01/22,107/02/05,"
													
													
													
														
														
														3,000,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52401682
智慧,台灣中油股份有限公司,6英吋H2、BTX、 LPG管線智慧型通管器(IP)檢測工作,2,107/01/12,107/02/21,"
													
													
													
														
														
														36,624,484
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52398185
大數據,行政院,「政務大數據應用發展計畫(第1階段)」,1,107/01/05,107/02/06,"
													
													
													
														
														
														6,500,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52382097
物聯網,行政院農業委員會林務局,107年「物聯網應用於林業經營之可行性評估」案,1,107/01/30,107/02/21,"
													
													
													
														
														
														3,000,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52413348
物聯網,行政院環境保護署,107年環境品質感測物聯網推動及專案管理計畫,1,107/01/12,107/02/12,"
													
													
													
														
														
														35,000,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52399439
物聯網,國家通訊傳播委員會,「數位經濟下我國物聯網及5G發展整體監理政策研析」委託研究採購案,1,107/01/24,107/02/13,"
													
													
													
														
														
														2,600,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52408154
雲端,教育部,107年教育雲端服務平臺維運及擴充案,2,107/02/01,107/02/08,"
													
													
													
														
														
														4,066,428
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52415500
雲端,動能意像製作有限公司,水下三十米雲端平台暨人工智慧系統建置開發案,1,107/01/17,107/02/01,"
													
													
													
														
														
														11,733,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52402621
雲端,教育部,校園雲端電子郵件服務軟體授權及維運案,1,107/01/29,107/02/08,"
													
													
													
														
														
														4,500,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52412327
雲端,內政部警政署,107年度警政雲端運算建置案,1,107/01/26,107/02/26,"
													
													
													
														
														
														189,459,000
																											
														
													
																									
												",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52349873
