分類,機關名稱,標案名稱,傳輸次數,公告日期,截止日期,金額,網址
智慧,法務部矯正署臺北監獄,矯正機關智慧監控系統建置及影像資料庫分析應用計畫銜接整合聯合採購案(北一區),1,106/11/28,106/12/21,"50,305,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52347287
智慧,科技部中部科學工業園區管理局,中科自主智慧防災水情系統第二期建置計畫,1,106/11/20,106/12/19,"14,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52337375
智慧,新竹市政府,新竹市政府智慧城市專案管理委託服務案,1,106/12/15,106/12/26,"3,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52372284
智慧,法務部矯正署高雄監獄,矯正機關智慧監控系統建置及影像資料庫分析應用計畫銜接整合聯合採購案(南區),2,106/12/15,106/12/19,"27,909,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52372809
智慧,智慧財產法院,智慧財產法院辦公椅採購案,1,106/12/14,106/12/19,"161,500",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52372025
智慧,國立臺灣科技大學,國立臺灣科技大學智慧電錶安裝工程,1,106/12/14,106/12/26,"2,900,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52370136
智慧,科技部新竹科學工業園區管理局,竹科住宅區智慧化監視錄影系統設置租賃,1,106/12/14,106/12/25,"18,695,042",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369780
智慧,法務部矯正署臺北看守所,矯正機關智慧監控系統建置及影像資料庫分析應用計畫銜接整合聯合採購案(北二區),2,106/12/14,106/12/20,"37,618,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369864
智慧,新竹縣竹東鎮中山國民小學,國中小智慧學習試辦計畫-智慧教室資訊設備,1,106/12/13,106/12/18,"400,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52369187
智慧,桃園市立武漢國民中學,106年智慧教室建置及教學設備更新,1,106/12/13,106/12/27,"10,321,900",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52366787
智慧,臺中市立潭秀國民中學,106年度國中小智慧學習試辦計畫暨教育網路中心維運計畫設備採購案,1,106/12/12,106/12/25,"4,687,500",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52366340
智慧,台灣中油股份有限公司,10吋及16吋高南總管管線智慧型通管器(IP)檢測工作,1,106/12/12,107/01/10,"29,778,525",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52366465
智慧,花蓮縣政府,花蓮縣人工智慧於學生學習成效分析預測系統建置案,1,106/12/12,106/12/26,"6,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52366447
智慧,臺中市政府交通局,106年度公車候車亭設施新建暨智慧型站牌遷移工程案,1,106/12/12,106/12/20,"17,262,295",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52366677
智慧,經濟部加工出口區管理處,加工出口區資訊加值及智慧製造輔導計畫,1,106/12/11,106/12/28,"9,000,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52364453
智慧,新北市政府採購處,107年新北市智慧型公車站牌看板採購案,1,106/12/11,106/12/21,"25,750,000",http://web.pcc.gov.tw/tps/tpam/main/tps/tpam/tpam_tender_detail.do?searchMode=common&scope=F&primaryKey=52364389
